        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
         353      130.500        5.500        0.000  -0.38249272  -0.04292373   0.00000000
         354      130.500       15.500        0.000  -0.61011852  -0.04670179   0.00000000
         355      130.500       25.500        0.000  -0.94890135  -0.07583202   0.00000000
         356      130.500       35.500        0.000  -1.52194060  -0.01162757   0.00000000
         357      130.500       45.500        0.000  -2.15196838  -0.06355836   0.00000000
         358      130.500       55.500        0.000  -2.88179428  -0.12622759   0.00000000
         359      130.500       65.500        0.000  -3.67682569  -0.20670676   0.00000000
         360      130.500       75.500        0.000  -4.46848364  -0.29078544   0.00000000
         361      130.500       85.500        0.000  -5.15489399  -0.36343714   0.00000000
         362      130.500       95.500        0.000  -5.71005613  -0.42266190   0.00000000
         363      130.500      105.500        0.000  -6.15389270  -0.45722268   0.00000000
         364      130.500      115.500        0.000  -6.48368205  -0.49098032   0.00000000
         365      130.500      125.500        0.000  -6.63622421  -0.52854987   0.00000000
         366      130.500      135.500        0.000  -6.55935139  -0.54617390   0.00000000
         367      130.500      145.500        0.000  -6.28874912  -0.52032943   0.00000000
         368      130.500      155.500        0.000  -5.94309067  -0.43422812   0.00000000
         369      130.500      165.500        0.000  -5.47060022  -0.36420372   0.00000000
         370      130.500      175.500        0.000  -4.80567584  -0.34218316   0.00000000
         371      130.500      185.500        0.000  -4.04077243  -0.31500975   0.00000000
         372      130.500      195.500        0.000  -3.23424213  -0.28698004   0.00000000
         373      130.500      205.500        0.000  -2.45912926  -0.26207286   0.00000000
         374      130.500      215.500        0.000  -1.76458556  -0.23949706   0.00000000
         375      130.500      225.500        0.000  -1.16711135  -0.14951574   0.00000000
         376      130.500      235.500        0.000  -0.75054081  -0.03364217   0.00000000
         377      130.500      245.500        0.000  -0.51628575   0.02605128   0.00000000
         378      130.500      255.500        0.000  -0.41696474   0.04986738   0.00000000
         379      140.500       -4.500        0.000  -0.21630398  -0.04900402   0.00000000
         380      140.500        5.500        0.000  -0.29780025  -0.04917555   0.00000000
         381      140.500       15.500        0.000  -0.49981029  -0.05510313   0.00000000
         382      140.500       25.500        0.000  -0.83432303  -0.05314304   0.00000000
         383      140.500       35.500        0.000  -1.24689725  -0.10425457   0.00000000
